2018-08-24 15:35:14 chartsDataCollector died, spawning replacement...
2018-08-24 15:38:16 chartsDataCollector died, spawning replacement...
2018-08-24 15:41:18 chartsDataCollector died, spawning replacement...
2018-08-24 15:44:21 chartsDataCollector died, spawning replacement...
2018-08-24 15:47:23 chartsDataCollector died, spawning replacement...
2018-08-24 15:50:25 chartsDataCollector died, spawning replacement...
2018-08-24 15:53:28 chartsDataCollector died, spawning replacement...
2018-08-24 15:56:30 chartsDataCollector died, spawning replacement...
2018-08-24 16:13:20 chartsDataCollector died, spawning replacement...
2018-08-24 16:16:22 chartsDataCollector died, spawning replacement...
2018-08-24 16:19:24 chartsDataCollector died, spawning replacement...
2018-08-24 16:22:27 chartsDataCollector died, spawning replacement...
2018-08-24 16:25:29 chartsDataCollector died, spawning replacement...
2018-08-24 16:28:31 chartsDataCollector died, spawning replacement...
2018-08-24 16:31:34 chartsDataCollector died, spawning replacement...
2018-08-24 16:34:36 chartsDataCollector died, spawning replacement...
2018-08-24 16:37:38 chartsDataCollector died, spawning replacement...
2018-08-24 16:40:40 chartsDataCollector died, spawning replacement...
2018-08-24 16:43:43 chartsDataCollector died, spawning replacement...
2018-08-24 16:46:45 chartsDataCollector died, spawning replacement...
2018-08-24 16:49:48 chartsDataCollector died, spawning replacement...
2018-08-24 16:52:50 chartsDataCollector died, spawning replacement...
2018-08-24 16:55:52 chartsDataCollector died, spawning replacement...
2018-08-24 16:58:54 chartsDataCollector died, spawning replacement...
2018-08-24 17:01:57 chartsDataCollector died, spawning replacement...
2018-08-24 17:04:59 chartsDataCollector died, spawning replacement...
2018-08-24 17:08:01 chartsDataCollector died, spawning replacement...
2018-08-24 17:38:40 chartsDataCollector died, spawning replacement...
2018-08-24 17:41:43 chartsDataCollector died, spawning replacement...
2018-08-24 17:44:45 chartsDataCollector died, spawning replacement...
2018-08-24 17:47:47 chartsDataCollector died, spawning replacement...
2018-08-24 17:50:49 chartsDataCollector died, spawning replacement...
2018-08-24 17:53:52 chartsDataCollector died, spawning replacement...
2018-08-24 17:56:54 chartsDataCollector died, spawning replacement...
2018-08-24 17:59:56 chartsDataCollector died, spawning replacement...
2018-08-24 18:02:59 chartsDataCollector died, spawning replacement...
2018-08-24 18:06:01 chartsDataCollector died, spawning replacement...
2018-08-24 18:09:03 chartsDataCollector died, spawning replacement...
2018-08-24 18:12:06 chartsDataCollector died, spawning replacement...
2018-08-24 18:15:08 chartsDataCollector died, spawning replacement...
2018-08-24 18:18:10 chartsDataCollector died, spawning replacement...
2018-08-24 18:21:12 chartsDataCollector died, spawning replacement...
2018-08-24 18:24:15 chartsDataCollector died, spawning replacement...
2018-08-24 18:27:17 chartsDataCollector died, spawning replacement...
2018-08-24 18:30:19 chartsDataCollector died, spawning replacement...
2018-08-24 18:33:21 chartsDataCollector died, spawning replacement...
2018-08-24 18:36:24 chartsDataCollector died, spawning replacement...
2018-08-24 18:39:26 chartsDataCollector died, spawning replacement...
2018-08-24 18:42:28 chartsDataCollector died, spawning replacement...
2018-08-24 18:45:31 chartsDataCollector died, spawning replacement...
